ROUTE_ID,SUPPLIER_ID,OFFICE_CD,TRANSPORT_MODE,ROUTE_LT_DAYS,FREIGHT_COST_KRW,RELIABILITY_PCT
RT001,SUP001,KR-ICN,육운,5,150000,97
RT002,SUP004,KR-ICN,육운,7,200000,95
RT003,SUP001,KR-MDG,육운,2,50000,99
RT004,SUP001,KR-SSU,육운,2,50000,99
RT005,SUP003,US-LAX,해운,21,850000,88
RT006,SUP007,US-LAX,해운,25,920000,85
RT007,SUP003,SEA-SGP,해운,14,620000,90
RT008,SUP007,SEA-SGP,해운,18,700000,87
RT009,SUP003,SEA-JKT,해운,18,680000,86
RT010,SUP008,SEA-JKT,항공,5,1800000,96
RT011,SUP007,SEA-BKK,해운,16,650000,88
RT012,SUP010,KR-ICN,항공,3,2100000,98
