PRODUCT_ID,PRODUCT_NAME,CATEGORY,DEMAND_TYPE,SEASONAL_PEAK,LIFECYCLE_STAGE,SUPPLIER_ID,PRICE_KRW,PRICE_USD,LAUNCH_DATE,STATUS
PRD001,클린잇제로 클렌징밤,스킨케어,REORDER,,성숙기,SUP001,22000,17,2020-03-01,ACTIVE
PRD002,선프로텍터 선크림 SPF50+,스킨케어,SEASONAL,여름,성장기,SUP004,18000,14,2022-01-01,ACTIVE
PRD003,인텐시브 수분크림,스킨케어,SEASONAL,겨울,성숙기,SUP001,32000,25,2019-06-01,ACTIVE
PRD004,퍼스트 토너,스킨케어,REORDER,,성숙기,SUP005,25000,19,2018-01-01,ACTIVE
PRD005,앰플 에센스,스킨케어,REORDER,,성장기,SUP008,45000,35,2021-09-01,ACTIVE
PRD006,레티놀 리뉴얼 세럼,스킨케어,LAUNCH,,도입기,SUP010,55000,42,2025-01-01,ACTIVE
PRD007,아이리페어 크림,스킨케어,DECLINING,,쇠퇴기,SUP002,35000,27,2017-03-01,DISCONTINUE
PRD008,벨벳 립틴트,립,REORDER,,성숙기,SUP006,12000,9,2019-04-01,ACTIVE
PRD009,글로우 글로시 립,립,LAUNCH,,성장기,SUP006,15000,12,2024-09-01,ACTIVE
PRD010,모이스처 립밤,립,SEASONAL,겨울,성장기,SUP003,8000,6,2022-11-01,ACTIVE
PRD011,매트 립스틱 클래식,립,DECLINING,,쇠퇴기,SUP006,14000,11,2016-05-01,DISCONTINUE
PRD012,볼루밍 마스카라,아이,REORDER,,성숙기,SUP009,16000,12,2020-02-01,ACTIVE
PRD013,이지 아이라이너,아이,REORDER,,성숙기,SUP009,13000,10,2019-08-01,ACTIVE
PRD014,데일리 아이섀도우 팔레트,아이,LAUNCH,,도입기,SUP007,38000,29,2025-02-01,ACTIVE
PRD015,내추럴 아이브로우,아이,DECLINING,,쇠퇴기,SUP009,10000,8,2015-07-01,DISCONTINUE
PRD016,퍼펙트 커버 쿠션,베이스,REORDER,,성숙기,SUP003,28000,22,2020-05-01,ACTIVE
PRD017,BB크림 올인원,베이스,DECLINING,,쇠퇴기,SUP005,20000,15,2016-03-01,DISCONTINUE
PRD018,실크 프라이머,베이스,REORDER,,성장기,SUP005,22000,17,2022-04-01,ACTIVE
PRD019,스킨핏 파운데이션,베이스,LAUNCH,,도입기,SUP007,35000,27,2024-11-01,ACTIVE
PRD020,선쿠션 SPF50+,베이스,SEASONAL,여름,성장기,SUP004,24000,18,2023-03-01,ACTIVE
