PART_ID,PART_NAME,PART_CLASS,PART_TYPE,DEMAND_TYPE,CATEGORY,UNIT_COST_KRW,STD_MONTHLY_DEMAND,LEAD_TIME_DAYS,MOQ,SUPPLIER_ID,STATUS
PT001,엔진블록 어셈블리,A,완성품부품,INTERMITTENT,엔진,1800000,30,14,1,SUP001,ACTIVE
PT002,트랜스미션 어셈블리,A,완성품부품,INTERMITTENT,변속기,2000000,20,21,1,SUP004,ACTIVE
PT003,터보차저,A,완성품부품,INTERMITTENT,엔진,850000,40,18,2,SUP006,ACTIVE
PT004,ECU 제어모듈,A,완성품부품,INTERMITTENT,전장,620000,60,14,2,SUP007,ACTIVE
PT005,인젝터 세트,A,완성품부품,KIT,엔진,380000,80,14,4,SUP004,ACTIVE
PT006,브레이크 캘리퍼,A,완성품부품,REORDER,샤시,220000,120,10,4,SUP002,ACTIVE
PT007,조향 기어박스,A,완성품부품,INTERMITTENT,샤시,480000,50,18,2,SUP001,ACTIVE
PT008,ABS 모듈,A,완성품부품,INTERMITTENT,전장,320000,70,14,2,SUP007,ACTIVE
PT009,에어백 어셈블리,A,AS전용,INTERMITTENT,차체,250000,90,10,4,SUP001,ACTIVE
PT010,배터리 팩,A,완성품부품,SEASONAL,전장,950000,40,14,1,SUP003,ACTIVE
PT011,에어필터,B,소모품,REORDER,엔진,18000,800,7,20,SUP010,ACTIVE
PT012,오일필터,B,소모품,REORDER,엔진,12000,900,5,20,SUP010,ACTIVE
PT013,스파크플러그,B,소모품,REORDER,엔진,8000,600,5,20,SUP003,ACTIVE
PT014,타이밍 벨트,B,소모품,REORDER,엔진,65000,300,7,10,SUP005,ACTIVE
PT015,쿨런트 호스,B,소모품,SEASONAL,엔진,22000,400,7,10,SUP010,ACTIVE
PT016,서스펜션 링크,B,완성품부품,REORDER,샤시,95000,200,10,4,SUP002,ACTIVE
PT017,허브 베어링,B,완성품부품,REORDER,샤시,48000,350,7,8,SUP005,ACTIVE
PT018,디스크 로터,B,완성품부품,REORDER,샤시,78000,280,7,4,SUP002,ACTIVE
PT019,점화코일,B,소모품,REORDER,전장,55000,250,7,10,SUP003,ACTIVE
PT020,산소센서,B,소모품,REORDER,전장,42000,300,7,10,SUP006,ACTIVE
PT021,라디에이터,B,완성품부품,SEASONAL,엔진,185000,150,14,2,SUP008,ACTIVE
PT022,워터펌프,B,완성품부품,SEASONAL,엔진,68000,200,10,4,SUP005,ACTIVE
PT023,드레인플러그,C,소모품,REORDER,엔진,1500,3000,3,100,SUP010,ACTIVE
PT024,에어컨 필터,C,소모품,SEASONAL,전장,8500,1200,5,50,SUP009,ACTIVE
PT025,와이퍼블레이드,C,소모품,SEASONAL,차체,12000,1500,5,50,SUP009,ACTIVE
PT026,전구류,C,소모품,REORDER,전장,3500,2000,3,100,SUP010,ACTIVE
PT027,클립 세트,C,소모품,REORDER,차체,800,5000,3,200,SUP009,ACTIVE
PT028,실링 키트,C,소모품,KIT,엔진,6000,1800,5,50,SUP010,ACTIVE
PT029,개스킷,C,소모품,KIT,엔진,4500,2200,3,100,SUP009,ACTIVE
PT030,볼트 세트,C,소모품,REORDER,차체,2200,4000,3,200,SUP010,ACTIVE
